,Inverse Document Frequency
andmat,-0.15415067982725836
andmaten,-0.15415067982725836
andra,-0.15415067982725836
andrad,-0.15415067982725836
andrakarna,-0.15415067982725836
andraken,-0.15415067982725836
andras,-0.15415067982725836
andre,-0.15415067982725836
andres,-0.15415067982725836
andromakes,-0.15415067982725836
andrum,-0.15415067982725836
andtrutet,-0.15415067982725836
andungarna,-0.15415067982725836
andäktig,-0.15415067982725836
andäktiga,-0.15415067982725836
andäktigt,-0.15415067982725836
anekdotberättare,-0.15415067982725836
anemoner,-0.15415067982725836
anfall,-0.15415067982725836
anfalla,-0.15415067982725836
anfallande,-0.15415067982725836
anfallen,-0.15415067982725836
anfallet,-0.15415067982725836
anfallit,-0.15415067982725836
anfrätt,-0.15415067982725836
anföll,-0.15415067982725836
anfölle,-0.15415067982725836
anföllo,-0.15415067982725836
anfölls,-0.15415067982725836
anförare,-0.15415067982725836
anföraren,-0.15415067982725836
anförde,-0.15415067982725836
anfört,-0.15415067982725836
anförtro,-0.15415067982725836
anförtrodda,-0.15415067982725836
anförtrodde,-0.15415067982725836
anförtrott,-0.15415067982725836
anförvanter,-0.15415067982725836
anförvanterna,-0.15415067982725836
angav,-0.15415067982725836
ange,-0.15415067982725836
angelägen,-0.15415067982725836
angelägenheter,-0.15415067982725836
angeläget,-0.15415067982725836
angenäm,-0.15415067982725836
angenäma,-0.15415067982725836
angenämare,-0.15415067982725836
angenämt,-0.15415067982725836
anger,-0.15415067982725836
angersby,-0.15415067982725836
angick,-0.15415067982725836
anginge,-0.15415067982725836
angiv,-0.15415067982725836
angivare,-0.15415067982725836
angläsen,-0.15415067982725836
angrepo,-0.15415067982725836
angrepp,-0.15415067982725836
angripa,-0.15415067982725836
angripare,-0.15415067982725836
angriparen,-0.15415067982725836
angriparna,-0.15415067982725836
angripit,-0.15415067982725836
angripna,-0.15415067982725836
angränsande,-0.15415067982725836
angängare,-0.15415067982725836
angående,-0.15415067982725836
angår,-0.15415067982725836
angått,-0.15415067982725836
anhängare,-0.15415067982725836
anhålla,-0.15415067982725836
anhöriga,-0.15415067982725836
aning,-0.15415067982725836
aningar,-0.15415067982725836
anka,-0.15415067982725836
ankar,-0.15415067982725836
ankarplats,-0.15415067982725836
ankarsmedjan,-0.15415067982725836
ankarstockar,-0.15415067982725836
ankdammen,-0.15415067982725836
anklaga,-0.15415067982725836
anklagad,-0.15415067982725836
anklagade,-0.15415067982725836
anklagande,-0.15415067982725836
anklagare,-0.15415067982725836
anklagas,-0.15415067982725836
anklagelsen,-0.15415067982725836
anklagelser,-0.15415067982725836
anklang,-0.15415067982725836
ankommande,-0.15415067982725836
ankommen,-0.15415067982725836
ankomst,-0.15415067982725836
ankomsten,-0.15415067982725836
ankor,-0.15415067982725836
anlades,-0.15415067982725836
anlag,-0.15415067982725836
anlagd,-0.15415067982725836
anlagt,-0.15415067982725836
anledning,-0.15415067982725836
anledningar,-0.15415067982725836
anledningen,-0.15415067982725836
anlete,-0.15415067982725836
anleten,-0.15415067982725836
anletes,-0.15415067982725836
anletet,-0.15415067982725836
anletsdrag,-0.15415067982725836
anletsdragen,-0.15415067982725836
anlita,-0.15415067982725836
anlitad,-0.15415067982725836
anloppen,-0.15415067982725836
anloppet,-0.15415067982725836
anlägga,-0.15415067982725836
anläggning,-0.15415067982725836
